Word,Count
thoroughfares,1
thorough,1
thirteen,1
thinking,1
things,1
therof,1
thereto,1
therapy,1
theoffense,1
themselves,1
thefts,1
theater,1
test”,1
tests—expungement,1
tests,1
testifies,1
terminating,1
terminated,1
tend,1
telecommunication,1
technology,1
technological,1
techniques,1
technique,1
technical,1
teal,1
taxable,1
tamper,1
talking,1
take-away,1
tables,1
system ”,1
syringes,1
symbol,1
sworn,1
swanson,1
suspicion,1
survivors,1
survivor,1
survive,1
survival,1
surveils,1
surrounding,1
surrounded,1
supreme,1
suppression,1
supports,1
supporting,1
supply,1
supervisors,1
supervised,1
superintendent’s,1
sunday,1
summons,1
summary,1
suite,1
suggestions,1
sufficient,1
suffers,1
suffer,1
success,1
substances—,1
subsequently,1
subsections,1
subpoena,1
submitted,1
subjecting,1
subcontractors,1
study,1
studies,1
studentassistance@iastate edu,1
student/employee,1
structures,1
structural,1
strobe,1
stressed,1
strength,1
street,1
strategies,1
strand,1
stotts,1
stories,1
stored,1
store,1
stolen,1
sticker,1
stephens,1
stemming,1
stay,1
status,1
state’s,1
starting,1
started,1
start,1
star,1
stanton,1
stands,1
standpipes,1
stalker,1
stairs,1
staffs,1
sr,1
square,1
sprinklers,1
sprinkled,1
spray,1
sponsor,1
spirt,1
spills,1
spends,1
speech,1
specified,1
space,1
source,1
sounded,1
sometimes,1
something,1
someone’s,1
solved,1
solely,1
sodium,1
snow,1
smart,1
slosscenter@iastate edu,1
slain,1
skills,1
skellogg@iastate edu,1
situated,1
sirector,1
sincerely,1
since,1
simulate,1
similarly,1
silence,1
signifies,1
significantly,1
signifiant,1
signed,1
sidewalks,1
sides,1
sibling,1
shutter-locks,1
shrubbery,1
shower,1
show,1
shovel,1
shots,1
shops,1
shocked,1
shine,1
shelters,1
sharing,1
shards,1
shakers,1
se”,1
sexually,1
sexuality,1
severity,1
session,1
serving,1
serviced,1
serious—§,1
series,1
separation,1
senseless,1
semester,1
self-expression,1
self-defense,1
self-awareness,1
selected,1
segments,1
seem,1
sectors,1
secretary,1
seconf,1
seconds,1
seconal,1
screening,1
screen,1
scoop,1
scientific,1
schools,1
school-related,1
scholars,1
schneider,1
scheman,1
schedules,1
scare,1
saving,1
saturday,1
satisfy,1
satellite,1
sara,1
sanctioning,1
salvia,1
safety-related,1
safer,1
safely,1
saddened,1
rule,1
routines,1
routine,1
routes,1
room/apartment,1
role,1
rohypnol,1
rodgers,1
robinson,1
robert,1
roads,1
rite,1
risks,1
rise,1
riding,1
ride,1
ribbons,1
rfid-blocking,1
revealed,1
retirement,1
retains,1
retain,1
resulted,1
restriction,1
restrict,1
restored,1
responses,1
responds,1
responding,1
respondent’s,1
respected,1
resolved,1
resolve,1
resisting,1
resist,1
residences,1
reserves,1
requirement,1
represents,1
represented,1
representation,1
report……………………………………………………………………………………………………………………………………38,1
report……………………………………………………………………………………………………………………………………  50,1
reporter’s,1
replacing,1
replaced,1
repeated,1
repairs,1
reopen,1
renamed,1
remove,1
remit,1
remind,1
remember,1
remedies,1
remedial,1
remaining,1
remain,1
relying,1
relocation,1
religious/spiritual,1
reliable,1
release --a,1
relationship”,1
rehabilitated,1
regulatory,1
regulating,1
regulated,1
registrar’s,1
registers,1
registered,1
regent,1
regards,1
regarded,1
regard,1
refuge ”,1
refer,1
reenter,1
reducing,1
redress,1
recruits,1
recruitment,1
recruit,1
recover,1
records,1
recording,1
recorded,1
recommends,1
recommendation,1
recommend,1
recognition,1
reclaiming,1
recharging,1
receptions,1
receiving,1
reason,1
reality,1
real,1
readily,1
reactions,1
reached,1
razor,1
rather,1
rate,1
rare,1
raise,1
radios,1
question,1
quarterly,1
quality,1
qualify,1
qualified,1
putting,1
pursuit,1
purse,1
purity,1
purchasing,1
pumps,1
pulled,1
publishes,1
publish,1
psychiatry,1
psyche,1
proximity,1
proud,1
protocols,1
protest,1
protects,1
protecting,1
protect,1
prospective,1
proof,1
promptly,1
promotion,1
promise,1
progress,1
program’s,1
programing,1
profit,1
professors,1
professions,1
professionally,1
products,1
production,1
produce,1
processed,1
problem s,1
problem,1
probable,1
priority,1
prioritized,1
printed,1
primary,1
primarily,1
preventive,1
pretrial,1
presumed,1
president/chief,1
preserving,1
preservation,1
presenting,1
prescribed,1
preponderance,1
prepare,1
pregnancy,1
preformed,1
predicts,1
preceding,1
pre-designed,1
practitioner’s,1
practitioner,1
practices,1
powerpoint,1
pottery/drop-in,1
postsecondary,1
possibility,1
posing,1
posession,1
poses,1
pose,1
portable,1
populations,1
population,1
policies………………………………………………………………………………………………………………………………  23,1
plugged,1
pled,1
play,1
places,1
pictures,1
piazza,1
pia,1
physician,1
photographed,1
photograph,1
phenobarbital,1
petroleum,1
persons”,1
personnel ”,1
perpetrator’s,1
perpetrator,1
permit,1
permanently,1
performing,1
perfect,1
peer,1
peak,1
paying,1
path,1
passed,1
partnerships,1
partners,1
partnered,1
parties’,1
part-time,1
pandemic,1
pan,1
paint,1
paid,1
pages,1
pad,1
owns,1
owned/operated,1
oversees,1
overseeing,1
override,1
overpayment,1
overnight,1
overly-rooted,1
overhear,1
overgrown,1
overdose,1
overcoming,1
oven,1
outlying,1
outlining,1
outlines,1
outline,1
outlets,1
outcome,1
outages,1
outage,1
ounce,1
osborn,1
orient,1
ordinarily,1
orderly,1
orange,1
opposite,1
opposing,1
opinion,1
operations,1
operated,1
operate,1
openings,1
onset,1
one-hour,1
on-going,1
omitted,1
ombudspersons,1
ombudsperson,1
oils,1
officially,1
officer”,1
offer,1
offense”,1
offenders,1
occasions,1
occasionally,1
obvious,1
observes,1
observed,1
observance,1
obligated,1
obligate,1
objecting,1
oak-elm,1
nswan@iastate edu,1
not”,1
notifies,1
noticed,1
nonpublic,1
nonprofit,1
nonexclusive,1
none,1
noncampus,1
non-verbal,1
non-technical,1
non-retaliation,1
non-profits,1
non-negligent,1
non-egregious,1
non-discriminatory,1
non-ambulatory,1
nitrate,1
ninety,1
nightly,1
nick,1
nibrs,1
never,1
networking,1
netid,1
nembutal,1
neighborhood,1
negligence,1
neglect,1
negative,1
needles,1
needed”,1
necessarily,1
near-by,1
ncic,1
nationwide,1
nation,1
narrow-sighted,1
narcotics,1
mutual,1
museums,1
murder/non-negligent,1
multiplies,1
multi-,1
mswc,1
mrforema@iastate edu,1
move,1
mounted,1
motel,1
morphine,1
moonward@iastate edu,1
monthly,1
monitors,1
monica,1
mon-fri,1
modify,1
mobile,1
mixed,1
misunderstanding,1
misleading,1
misdemeanors,1
misconduct/assault/harassment,1
misconduct/assault,1
minimums,1
mind,1
mil,1
michael,1
methaqualone,1
metasys,1
metal,1
mescaline,1
meprobamate,1
mentions,1
memorandum,1
member”,1
membership,1
medium,1
medicine,1
medications,1
medication,1
meaning,1
mean,1
materially,1
mass,1
mary,1
marshal's,1
married,1
marketing,1
marijuana-based,1
margo,1
margaret,1
march,1
manufactures,1
manifests,1
managed,1
maliciously,1
malicious,1
male,1
makes,1
majority,1
mainstream,1
machines,1
lyles,1
lurking,1
lower,1
low-tch,1
low,1
loved,1
lots,1
lookout,1
long-term,1
locking,1
lock,1
locate,1
loans,1
lived,1
lists,1
listen,1
listed,1
liquors,1
linking,1
linens,1
limits,1
limitation,1
lightly,1
lighting,1
lifestyles,1
licenses,1
licensed,1
liaisons,1
lgbtqia+,1
lessee,1
lehigh,1
legally,1
legalized,1
lecturers,1
leaving,1
learns,1
leaks,1
leak,1
latest,1
last,1
large,1
larceny-theft,1
language,1
landlord,1
landline,1
landings,1
lack,1
laceration,1
laboratory,1
laboratories,1
knox,1
kitchens,1
kitchenettes,1
kitchen,1
kit,1
kinnersley,1
kinds,1
killed,1
keys,1
kept,1
keeping,1
kaufman,1
jump-start,1
judith,1
judgement,1
jstrand@iastate edu,1
jointly,1
jobs,1
jail,1
jacklyn,1
item,1
isu-related,1
issuance,1
investigators,1
investigative,1
invasion,1
intruders,1
introduce,1
intoxicating,1
intolerance,1
intimidating,1
interviews,1
interviewing,1
intervening,1
interruption,1
internet,1
intern,1
intermediary,1
interface,1
interests,1
interest,1
intercollegiate,1
interact,1
intentional—burned,1
intentional,1
intensive,1
intellectual,1
integrity,1
integral,1
instruments,1
instruction,1
instead,1
instance,1
installed,1
inspectors,1
inspections,1
injure,1
injunctions,1
inject,1
initiating,1
initiated,1
inhale,1
ingest,1
informing,1
information…………………………………………………………………………………………………………………… 51,1
informational,1
informal,1
inflicting,1
inflict,1
infections,1
ineligibility,1
induces,1
individually,1
indirectly,1
indictment,1
indication,1
indicate,1
incoming,1
inclement,1
incident-based,1
inches,1
incapacitation,1
in-patient,1
imprisoned,1
impounded,1
importation,1
implied,1
impending,1
impede,1
impacted,1
illness,1
ignited,1
identity/expression,1
identities,1
identifies,1
identifiable,1
ideas,1
hypodermic,1
hydroxybutyric,1
hydroxide,1
husband,1
hunger,1
https //www studentwellness iastate edu/alcohol-data/,1
https //www policy iastate edu/policy/students/sexualmisconduct,1
https //www policy iastate edu/policy/sdr,1
https //www policy iastate edu/policy/missingstudent,1
https //www policy iastate edu/policy/firesafety,1
https //www policy iastate edu/policy/facilities/use#access,1
https //www policy iastate edu/policy/drugs,1
https //www policy iastate edu/policy/discrimination,1
https //www policy iastate edu/policy/candles/,1
https //www policy iastate edu/policy,1
https //www policy iastate edu/ethics-hotline/online-report,1
https //www police iastate edu/crime-log/,1
https //www police iastate edu/community-outreach/,1
https //www legis iowa gov/docs/code/262 9 pdf,1
https //www legis iowa gov/docs/code/262 13 pdf,1
https //www isualert iastate edu/,1
https //www iowasexoffender gov/,1
https //www iowaregents edu/plans-and-policies/board-policy-manual/413-comprehensive-campus-safety-and-security-policy/,1
https //www iowaattorneygeneral gov/media/cms/sae_brochure_32015_bb113f9d4de6e pdf,1
https //www eoc iastate edu/sites/default/files/uploads/title%20ix%20general%20resource%20guide pdf,1
https //www assaultcarecenter org,1
https //restma its iastate edu/create_pages/main_request_create html,1
https //ope ed gov/campussafety/#/,1
https //it usembassy gov/u-s-citizen-services/victims-of-crime/,1
http //www studentlegal dso iastate edu/,1
http //www studentconduct dso iastate edu/,1
http //www studentassistance dso iastate edu/,1
http //www storycountyiowa gov/90/county-attorney,1
http //www police iastate edu/wp-content/uploads/2019/09/2018-annual-security-and-fire-safety-report-isu pdf,1
http //www police iastate edu,1
http //www mswc dso iastate edu/,1
http //www mgmc org,1
http //www legalaidstory com/,1
http //www health iastate edu,1
http //www eoc iastate edu,1
http //www emcdda europa eu/countries/drug-reports/2018/italy/drug-laws-and-drug-law-offences_en,1
http //www counseling iastate edu/counseling,1
http //www cityofames org/government/departments-,1
http //isupolice wpengine com/clery-report-form/,1
http //center dso iastate edu/,1
howard-martin,1
housing/sheltering,1
houses,1
hotel,1
hosted,1
host,1
horns,1
hood,1
honoring,1
honor,1
honest,1
homepage,1
holistic,1
hold,1
hire,1
highways,1
here,1
helping,1
helpful,1
hea’s,1
hearings,1
hear,1
healthy,1
healing,1
hea,1
hazard,1
hayward,1
hawthorn,1
hard,1
harassing,1
happening,1
happened,1
hang,1
hands-on,1
handling,1
handles,1
handicap,1
hammers,1
hallways,1
half,1
habits,1
guideline,1
guards,1
guard,1
guarantee,1
growth,1
growing,1
groups,1
ground,1
gross,1
grey,1
greeley,1
greatest,1
gratuity,1
grants,1
grade,1
governments,1
governed,1
google,1
goodson,1
good-faith,1
golfing,1
going,1
goes,1
global,1
ghb,1
geographical,1
genetic,1
gender-based,1
gatherings,1
gases,1
gamma,1
furthermore,1
funding,1
fundamental,1
functions,1
functionality,1
functional,1
function,1
full-time,1
fulk,1
fuel,1
friends,1
friend,1
friedman,1
freely,1
fraud,1
fourth,1
fourteen,1
four,1
foundation,1
foster,1
forwarded,1
forth,1
formats,1
forfeiture,1
foreman,1
foot,1
followed,1
focusing,1
focuses,1
focused,1
fob,1
floods,1
flood,1
flat,1
flame,1
flags”,1
flags,1
fisher,1
first-class,1
firewatch,1
firewall,1
firefighters,1
firearms,1
fire/incident,1
fire/emergency/tornado,1
fined,1
finds,1
finding,1
finder,1
finally,1
final,1
fighters,1
fifteen,1
fields/courts,1
fields,1
field,1
fiduciary,1
few,1
fenced,1
female,1
felony—§,1
felon's,1
felice,1
fee,1
features,1
featured,1
fears,1
faulty,1
fault,1
fashion,1
farm,1
farley,1
far,1
fans,1
families,1
familiarize,1
familiar,1
fairness,1
failures,1
faculty/staff,1
fact-finder,1
fact,1
facilitating,1
facilitates,1
face,1
f --if,1
f,1
extreme,1
extracurricular,1
extinguishing,1
extension,1
extends,1
extending,1
expungement,1
expulsion,1
express,1
explosives,1
explosion,1
explore,1
explode,1
expenditure,1
expended,1
expectation,1
existence,1
exhibits,1
exhibitions,1
exhibition,1
exhibit,1
exhaust,1
exercise,1
excluding,1
excess,1
excellence,1
examined,1
exact,1
evolved,1
evening,1
evaluation,1
evade,1
evacuations,1
ethnicity,1
ethical,1
establishing,1
essential,1
especially,1
escorts,1
escort,1
escape,1
equity,1
equitably,1
equation,1
eooffice@iastate edu,1
eoffice@iastate edu,1
environment ”,1
entrances,1
entitled,1
entities,1
enrolled,1
enhancing,1
enhancements,1
enhanced,1
enforcing,1
endorsed,1
endangers,1
end,1
encourage,1
encounters,1
encountering,1
enacted,1
enable,1
empowered,1
employ,1
emphasizing,1
emphasis,1
embodied,1
emancipated,1
eliminate,1
eligibility,1
elgibility,1
element,1
electronically,1
effects,1
effectiveness,1
education’s,1
educates,1
educaters,1
educate,1
edu,1
edits,1
edenburn,1
eat,1
earthquakes,1
early,1
e g,1
e,1
dwellings,1
duties,1
duration,1
duplex,1
duff,1
drunkenness,1
drugged,1
drug-free,1
draper,1
downs,1
dorm,1
donor,1
donated,1
dominion,1
doing,1
doesn’t,1
documenting,1
divorced,1
divisions-i-z/police,1
divinorum,1
diversity,1
disturbing,1
distallates,1
dissipate,1
disseminate,1
disrupt,1
disposition,1
disposed,1
displaying,1
dispensing,1
dispensed,1
dispense,1
dispatchers,1
dispatched,1
dispatch,1
dishes,1
discussing,1
discussed,1
discrimination/harassment,1
discreetly,1
discourage,1
disclosures,1
discharged,1
disabled,1
directory,1
directors,1
directing,1
difficulties,1
dial,1
develops,1
developed,1
develop,1
determination,1
deter,1
detectors,1
detector,1
detailed,1
destruction/damage/vandalism,1
destruction,1
destroying,1
destroy,1
desired,1
designate,1
derived,1
deprived,1
deprince@iastate edu,1
depicts,1
depends,1
dependent,1
department……………………………………………………………36,1
deny,1
dentist,1
demonstrations,1
demonstrate,1
delivering,1
delivered,1
defraud,1
definitions……………………………………………………………………………… ……………………………………………,1
definite,1
deferring,1
defense/defensive,1
defendant’s,1
defend,1
defects,1
deface,1
deemed,1
deem,1
dedicates,1
dedicated,1
decrease,1
decline,1
dealing,1
deadly,1
deadlines,1
deadline,1
daylight,1
dawn,1
dates,1
database,1
dampers,1
d l,1
cyber,1
cutting,1
customs,1
custodian,1
currently,1
culture,1
cultural,1
cultivation,1
csmall@iastate edu,1
critical,1
criteria,1
crime-related,1
creed,1
credit,1
credible,1
crafts,1
count,1
counselor’s,1
counselor/advocate,1
cost,1
corrective,1
correctional,1
corner,1
coordinators……………………………………………………………………………………………………………………………………………31,1
coordinators,1
coordinates,1
cooperatively,1
cooperated,1
cooperate,1
convicton,1
conveying,1
conversations,1
controversies,1
controls,1
controlling,1
contractor,1
contraception,1
continuous,1
continues,1
containers,1
contact”,1
contacts,1
contacted,1
consumes,1
consultation,1
consultant,1
consult,1
consulates,1
consulate,1
construction,1
consistently,1
considerations,1
consequences,1
consents,1
consented,1
consecutive,1
consciousness,1
consanguinity,1
connections,1
connecting,1
connect,1
congress,1
conflict,1
confirmed,1
confidentiality/privilege,1
conduct”,1
conducts,1
conduct-student,1
conducive,1
condo,1
concrete,1
conclusion,1
concentration,1
concealment,1
compromise,1
composed,1
complicity,1
complexity,1
completely,1
completed,1
complainant’s,1
compiling,1
compiled,1
compile,1
competition,1
competency,1
compel,1
comparable,1
communities,1
commit,1
commission,1
commercial,1
comment,1
comfortable,1
combats,1
color,1
collectively,1
collection,1
collaborates,1
coldwater,1
coercion,1
coercing,1
codeine,1
code's,1
clothing,1
closets,1
closely,1
closed,1
close-by,1
clinics,1
clergy,1
cleaned,1
clean,1
classrooms,1
classmate,1
classify,1
classes,1
clark,1
clarity,1
claims,1
civilized,1
civility,1
civilian,1
citizens,1
citizen,1
circuit,1
cinema,1
chronic,1
choice,1
checking,1
charles,1
charitable,1
characterized,1
chaplains,1
channels,1
changes,1
challenging,1
ceremony,1
centers,1
cell,1
ceiling,1
ceila,1
cavallotti,1
causing,1
cathinones,1
category,1
categories,1
casual,1
carrying,1
carried,1
carabiniery,1
carabinieri,1
cannabis,1
cannabinoids,1
cannabidiol,1
canas,1
campus…………………………………………………………………………………………………………… 11,1
campus……………………………………………………………………………………  48,1
campus……………………………………………………………………………… 45,1
campaigns,1
campaign,1
cabinets,1
burnt,1
burn,1
bureau,1
bullying,1
bulletin,1
building s /addresses,1
build,1
brush,1
broken,1
broader,1
broadcast,1
bring,1
bribery,1
breaker,1
breach,1
bratsch-prince,1
box,1
bottom,1
book,1
bones,1
bond,1
bomb,1
boarding,1
blend,1
biological,1
beyond,1
better,1
beneficial,1
bells,1
believing,1
believed,1
beliefs,1
behind,1
begins,1
beginning,1
begin,1
beep,1
bedding,1
bed,1
becoming,1
becomes,1
become s,1
beautiful,1
batteries,1
bathroom,1
basketball,1
basic,1
barriers,1
bad,1
away,1
awaiting,1
avoiding,1
avoidance,1
automatically,1
author,1
audits,1
auditorium,1
audit,1
audience,1
attorney’s,1
attends,1
attending,1
attendees,1
attempts,1
attached,1
assumed,1
associations,1
assistive,1
assisted,1
assistants,1
assessing,1
assessed,1
assemble,1
assemblage,1
assault”,1
assaults,1
assailant,1
art,1
arrows,1
arrested/alcohol,1
arozemena,1
arises,1
appropriately,1
approaches,1
approach,1
apprising,1
apprehend,1
apple,1
appear,1
apparently,1
apartment,1
anonymously,1
anonymity,1
animal,1
anguish,1
anesthetic,1
among,1
amending,1
amended,1
alyles@iastate edu,1
always,1
altering,1
already,1
alone,1
alleging,1
all-inclusive,1
alice,1
alert”,1
alcohol/drug,1
airhorns,1
aircraft,1
air,1
aims,1
aids,1
aided,1
agrees,1
aggregation,1
agency,1
again,1
afterdark,1
afford,1
affix,1
affirmative,1
advisory,1
advisor/support,1
advisers,1
adventure,1
advance,1
adrienne,1
adopted,1
admissible,1
administrators,1
administering,1
adjuncts,1
adjunct,1
addressing,1
additionally,1
addicted,1
add,1
adapted,1
adapt,1
act”,1
activated,1
activate,1
acquire,1
achieved,1
accuser,1
accessing,1
academy,1
academic/meeting,1
abuse”,1
abuser,1
abroad,1
abetted,1
937,1
926,1
917,1
9131,1
909 3a,1
907 3 1,1
907,1
903 1,1
903,1
902 9 1  a,1
902 8a,1
902 4--the,1
902 13,1
902,1
901 5a--the,1
901 5 12,1
901 5 11 --the,1
901 10 3,1
901 10 2 --a,1
90,1
9/17/2018,1
862,1
855-983-4641,1
855-696-2980,1
811 2,1
811 1 2,1
81/08,1
81,1
804 5,1
804 21,1
804 1,1
801 4,1
800-524-6877,1
800-203-3488,1
769,1
724 1,1
709 4 3 --it,1
709 4,1
709 3,1
709 2,1
709 1a,1
709 1,1
708 8,1
708 6,1
708 2b,1
708 2a,1
708 11,1
702 7,1
7/6/1996,1
7 30,1
6th,1
698,1
692a 126,1
692a,1
664a 5,1
610,1
600,1
60-day,1
6 00,1
5kg,1
585,1
583,1
571,1
560,1
537,1
515-382-7255,1
515-382-6566,1
515-382-2471,1
515-357-0168,1
515-294-9792,1
515-294-7119,1
515-294-6410,1
515-294-5801,1
515-294-5433,1
515-294-5285,1
515-294-5056,1
515-294-5000,1
515-294-4444,1
515-294-4154,1
515-294-2418,1
515-294-1222,1
515-294-1021,1
515-294-0978,1
515-294-0519,1
515-294-0391,1
515-294-0044,1
515-292-5378,1
515-292-0543,1
515-239-5133,1
515-239-2011,1
515-232-4185,1
515,1
514,1
506,1
503,1
50011,1
500-4999,1
500,1
50-499,1
May-49,1
5 00,1
494,1
49 087,1
457,1
453b--if,1
435b,1
42,1
400,1
40-399,1
4 00p m,1
3rd,1
395,1
380,1
358,1
355,1
351,1
326,1
3224,1
315,1
307,1
3 perform,1
2nd,1
294-4444,1
29-alert,1
29-30,1
286,1
280,1
28-279,1
28,1
271,1
265,1
2647,1
260,1
252,1
2519,1
244,1
2424,1
24,1
236 5,1
236,1
232 70,1
232 69,1
232 68,1
232 67,1
232 19,1
232,1
23 000,1
221,1
218,1
2160,1
2152,1
213,1
212,1
20successfully,1
204,1
203,1
202,1
2019,1
2 successfully,1
2 7,1
2 00,1
2 0,1
1994,1
1986,1
1978,1
1965,1
173,1
17,1
150,1
15,1
140,1
135,1
131,1
129,1
128,1
126 27--unless,1
126,1
124e 2,1
124e,1
1245b,1
124 414--it,1
124 413 3,1
124 411 1 --if,1
124 409--when,1
124 409,1
124 407--it,1
124 406a--if,1
124 401f--it,1
124 401d--if,1
124 401d,1
124 401c--if,1
124 401b--if,1
124 401b,1
124 401 5 --a,1
124 401 4 --it,1
124 401 2 --if,1
124 401 1  e,1
124 401 1  b,1
124 401 1  a   b,1
124 40 1  d,1
123 47,1
123 46,1
123,1
12 00,1
119,1
112,1
1111,1
1100-1300,1
110,1
1000kg,1
100%,1
10 15,1
10,1
2-Jan,1
9-Jan,1
1-800-203-3488,1
06 46741,1
367,1
347,1
341,1
$750 000,1
$750 ,1
$50 000,1
$400 ,1
$200 000,1
$2 5,1
"$1,500 ",1
$100 000,1
$100 00,1
$100 ,1
$10 000,1
$1 500,1
“support,2
“guardian”,2
“family,2
“emergency,2
“domestic,2
§124 401,2
zone,2
youth,2
wrong,2
world,2
words,2
women’s,2
wish,2
windows,2
willful,2
wherein,2
week,2
weather,2
warn,2
voluntary,2
very,2
vagina,2
utilizing,2
utilizes,2
urged,2
unsure,2
unlawfully,2
united,2
unit,2
underage,2
unconsciousness,2
unconscious,2
unauthorized,2
two-year,2
twice,2
twenty,2
trends,2
treat,2
transporting,2
transport,2
transmitted,2
transfer,2
touching,2
top,2
tools,2
tolerate,2
today’s,2
timer,2
throat,2
threatens,2
threatened,2
thionyl,2
therefore,2
tetrahydrofuran,2
testify,2
terrorized,2
terrace,2
temporarily,2
television,2
teeth,2
teams,2
taught,2
takes,2
table,2
tab,2
synthetic,2
swimming,2
sustainable,2
suspect,2
surroundings,2
supervisor,2
superintendent,2
successful,2
submitting,2
submission,2
studying,2
student/campus,2
structure,2
strictly,2
strategy,2
still,2
stations,2
statewide,2
stated,2
standard,2
stairwells,2
staircase,2
sq,2
spouses,2
sponsoring,2
specially,2
spaces,2
south,2
sounds,2
smoke-free,2
slight,2
sleeve,2
sleep,2
sirens,2
siren,2
signs,2
signal,2
signage,2
sheriff’s,2
sheriff,2
services”,2
september,2
separated,2
sentencing,2
sensitive,2
senior,2
send,2
self,2
seeks,2
secured,2
scope,2
sciences,2
scheduled,2
scanning,2
sample,2
saferide,2
rural,2
rrdb,2
rides,2
reviewed,2
resulting,2
respondents,2
resistance,2
resides,2
resided,2
rescue,2
requested,2
represent,2
reopening,2
removing,2
removal,2
reminded,2
remedy,2
remains,2
relevant,2
released,2
relations,2
relation,2
refuge,2
reduced,2
reduce,2
red,2
recommended,2
recognizes,2
recent,2
receives,2
received,2
reauthorization,2
reader,2
reaction,2
react,2
reach,2
rave,2
random,2
radio,2
quickly,2
questions,2
pursue,2
purposefully,2
punishment,2
pull,2
provost,2
provider,2
properly,2
prompt,2
prohibit,2
procured,2
proceedings,2
problems,2
privileges,2
privileged,2
prison,2
pressure,2
president,2
presented,2
prepared,2
precursor,2
power-based,2
potentially,2
posts,2
postings,2
positive,2
pool,2
pleads,2
plea,2
plant,2
photo,2
phosphorous,2
pertaining,2
permissible,2
performs,2
performance,2
perchloric,2
payment,2
party’s,2
parts,2
partnership,2
particular,2
participants,2
participant,2
parks,2
parents,2
paper,2
panic,2
palladium,2
owner,2
organ,2
ordinances,2
ordered,2
option,2
opportunities,2
operation,2
ooda,2
ones,2
one-third,2
one-half,2
once,2
ombuds,2
older,2
often,2
offers,2
october,2
occurs,2
occupants,2
obstructing,2
observe,2
object,2
numbers,2
noted,2
nose,2
normally,2
normal,2
non-emergencies,2
non-bailable,2
no-contact,2
nineteen,2
new,2
neutral,2
neither,2
neck,2
ncaa,2
navigation,2
natural,2
mouth,2
monday,2
model,2
mobility,2
mitigating,2
method,2
mentally,2
memory,2
memorial,2
members”,2
medicinal,2
mechanisms,2
mechanical,2
meant,2
marriage,2
maps,2
map,2
management,2
males,2
major,2
mail,2
magnets,2
magnesium,2
magistrate,2
lysergic,2
loop,2
longer,2
livelihoods,2
lithium,2
liquids,2
link,2
lincoln,2
light,2
lieu,2
license,2
let,2
length,2
learning,2
leads,2
leading,2
leaders,2
later,2
larger,2
largely,2
lacks,2
kin,2
killing,2
kellogg,2
kamuli,2
jurisdictional,2
july,2
judicially,2
jeopardize,2
issuing,2
iodine,2
involves,2
investigator,2
investigating,2
intoxicated,2
intoxicants,2
intimidated,2
interns,2
interferes,2
interfere,2
intends,2
instructed,2
institution’s,2
inspection,2
injunction,2
initiate,2
inducing,2
individual s,2
indirect,2
indicated,2
increasing,2
inclusion,2
improve,2
implement,2
impeding,2
impartial,2
impairment,2
impaired,2
impact,2
immigration,2
identification,2
i e,2
hour,2
hot,2
holidays,2
highly,2
heoa,2
helps,2
helpless,2
heads,2
hazards,2
harmful,2
handled,2
handle,2
guidelines,2
great,2
gratification,2
granted,2
grant,2
graduate,2
goals,2
goal,2
geographic,2
geoffroy,2
gather,2
gas,2
further,2
functioning,2
fully,2
full,2
fulfill,2
ft,2
front,2
frightened,2
friday,2
